


Sorted by Name 

Nr.;Name;InitType;Profit(%);InitDepot;EndDepot;BuySumme;SellSumme;TypChangesCounter;DetailedAbwicklung;InitPrice;InitMenge;InitCash;EndPreis;EndMenge;EndCash;
Nr.;Name;InitType;Profit(%);InitDepot;EndDepot;BuySumme;SellSumme;TypChanges;DetailedAbwicklung;InitPrice;InitMenge;InitCash;EndPreis;EndMenge;EndCash;
1;V38;Investor;-0,203;4355191;4346330;1066;901;0;depot/V38.csv;1000;553;3802191;976;718;3645562;
2;V77;Investor;-0,221;4781478;4770900;1145;1109;0;depot/V77.csv;1000;625;4156478;976;661;4125764;
3;V65;Investor;-0,239;6671853;6655878;968;944;0;depot/V65.csv;1000;874;5797853;976;898;5779430;
4;V3;Investor;-0,246;6397158;6381425;859;664;0;depot/V3.csv;1000;783;5614158;976;978;5426897;
5;V53;Investor;-0,289;6470719;6452019;752;789;0;depot/V53.csv;1000;1167;5303719;976;1130;5349139;
6;V13;Investor;-0,315;5775737;5757529;400;503;0;depot/V13.csv;1000;1059;4716737;976;956;4824473;
7;V14;Investor;-0,409;7277670;7247909;600;597;0;depot/V14.csv;1000;1491;5786670;976;1494;5789765;
8;V17;Investor;-0,518;3861679;3841679;450;527;0;depot/V17.csv;1000;1171;2690679;976;1094;2773935;
9;V63;Investor;-0,553;2741033;2725865;812;1037;0;depot/V63.csv;1000;928;1813033;976;703;2039737;
10;V64;Investor;-0,596;4773820;4745390;973;958;0;depot/V64.csv;1000;1258;3515820;976;1273;3502942;
11;V5;Investor;-0,822;3632371;3602511;1457;1322;0;depot/V5.csv;1000;1288;2344371;976;1423;2213663;
12;V4;Investor;-0,939;2945824;2918160;858;814;0;depot/V4.csv;1000;1380;1565824;976;1424;1528336;
13;V45;NoiseTrader;-1,491;2956225;2912162;503;546;0;depot/V45.csv;1000;1535;1421225;976;1492;1455970;
14;V6;NoiseTrader;-1,840;2536973;2490298;486;517;0;depot/V6.csv;1000;1716;820973;976;1685;845738;
15;V12;NoiseTrader;-1,851;1808681;1775207;582;592;0;depot/V12.csv;1000;1013;795681;976;1003;796279;
16;V62;NoiseTrader;-2,002;2625944;2573361;545;593;0;depot/V62.csv;1000;1872;753944;976;1824;793137;
17;V100;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V100.csv;1000;1000;100000;976;1000;100000;
18;V39;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V39.csv;1000;1000;100000;976;1000;100000;
19;V36;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V36.csv;1000;1000;100000;976;1000;100000;
20;V46;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V46.csv;1000;1000;100000;976;1000;100000;
21;V54;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V54.csv;1000;1000;100000;976;1000;100000;
22;V56;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V56.csv;1000;1000;100000;976;1000;100000;
23;V59;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V59.csv;1000;1000;100000;976;1000;100000;
24;V15;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V15.csv;1000;1000;100000;976;1000;100000;
25;V92;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V92.csv;1000;1000;100000;976;1000;100000;
26;V32;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V32.csv;1000;1000;100000;976;1000;100000;
27;V9;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V9.csv;1000;1000;100000;976;1000;100000;
28;V61;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V61.csv;1000;1000;100000;976;1000;100000;
29;V23;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V23.csv;1000;1000;100000;976;1000;100000;
30;V18;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V18.csv;1000;1000;100000;976;1000;100000;
31;V10;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V10.csv;1000;1000;100000;976;1000;100000;
32;V57;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V57.csv;1000;1000;100000;976;1000;100000;
33;V8;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V8.csv;1000;1000;100000;976;1000;100000;
34;V20;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V20.csv;1000;1000;100000;976;1000;100000;
35;V43;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V43.csv;1000;1000;100000;976;1000;100000;
36;V19;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V19.csv;1000;1000;100000;976;1000;100000;
37;V24;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V24.csv;1000;1000;100000;976;1000;100000;
38;V83;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V83.csv;1000;1000;100000;976;1000;100000;
39;V50;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V50.csv;1000;1000;100000;976;1000;100000;
40;V79;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V79.csv;1000;1000;100000;976;1000;100000;
41;V51;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V51.csv;1000;1000;100000;976;1000;100000;
42;V74;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V74.csv;1000;1000;100000;976;1000;100000;
43;V7;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V7.csv;1000;1000;100000;976;1000;100000;
44;V68;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V68.csv;1000;1000;100000;976;1000;100000;
45;V44;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V44.csv;1000;1000;100000;976;1000;100000;
46;V67;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V67.csv;1000;1000;100000;976;1000;100000;
47;V11;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V11.csv;1000;1000;100000;976;1000;100000;
48;V35;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V35.csv;1000;1000;100000;976;1000;100000;
49;V28;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V28.csv;1000;1000;100000;976;1000;100000;
50;V66;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V66.csv;1000;1000;100000;976;1000;100000;
51;V42;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V42.csv;1000;1000;100000;976;1000;100000;
52;V48;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V48.csv;1000;1000;100000;976;1000;100000;
53;V55;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V55.csv;1000;1000;100000;976;1000;100000;
54;V52;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V52.csv;1000;1000;100000;976;1000;100000;
55;V70;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V70.csv;1000;1000;100000;976;1000;100000;
56;V29;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V29.csv;1000;1000;100000;976;1000;100000;
57;V37;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V37.csv;1000;1000;100000;976;1000;100000;
58;V33;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V33.csv;1000;1000;100000;976;1000;100000;
59;V21;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V21.csv;1000;1000;100000;976;1000;100000;
60;V26;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V26.csv;1000;1000;100000;976;1000;100000;
61;V25;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V25.csv;1000;1000;100000;976;1000;100000;
62;V27;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V27.csv;1000;1000;100000;976;1000;100000;
63;V22;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V22.csv;1000;1000;100000;976;1000;100000;
64;V89;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V89.csv;1000;1000;100000;976;1000;100000;
65;V40;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V40.csv;1000;1000;100000;976;1000;100000;
66;V49;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V49.csv;1000;1000;100000;976;1000;100000;
67;V16;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V16.csv;1000;1000;100000;976;1000;100000;
68;V96;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V96.csv;1000;1000;100000;976;1000;100000;
69;V81;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V81.csv;1000;1000;100000;976;1000;100000;
70;V47;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V47.csv;1000;1000;100000;976;1000;100000;
71;V98;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V98.csv;1000;1000;100000;976;1000;100000;
72;V73;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V73.csv;1000;1000;100000;976;1000;100000;
73;V71;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V71.csv;1000;1000;100000;976;1000;100000;
74;V90;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V90.csv;1000;1000;100000;976;1000;100000;
75;V72;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V72.csv;1000;1000;100000;976;1000;100000;
76;V34;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V34.csv;1000;1000;100000;976;1000;100000;
77;V58;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V58.csv;1000;1000;100000;976;1000;100000;
78;V99;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V99.csv;1000;1000;100000;976;1000;100000;
79;V60;BlankoAgent;-2,182;1100000;1076000;0;0;0;depot/V60.csv;1000;1000;100000;976;1000;100000;
